row_number;Identifiant_de_l_etablissement;Nom_etablissement
628;0020007X;Collège Henri Matisse
629;0020009Z;Collège Pierre et Marie Curie
630;0020011B;Collège François Truffaut
631;0020012C;Lycée polyvalent Jean de La Fontaine
632;0020013D;Section d'enseignement professionnelle au lycée Jules Verne
633;0020014E;Lycée Gay-Lussac
634;0020015F;Collège Jacques Cartier
635;0020017H;Collège Léopold Sédar Senghor
636;0020018J;Collège Léon Droussent
637;0020022N;Lycée professionnel Jean Monnet
638;0020024R;Collège Anne de Montmorency
639;0020025S;Lycée professionnel Château Potel
640;0020030X;Collège Camille Desmoulins
641;0020032Z;Lycée Paul Claudel
642;0020034B;Lycée polyvalent Pierre Méchain
643;0020037E;Collège Suzanne Deutsch de la Meurthe
644;0020038F;Collège Joseph Boury
645;0020039G;Collège Colbert Quentin
646;0020043L;Collège Jules Ferry
647;0020046P;Collège de la Chesnoye
