row_number;Identifiant_de_l_etablissement;Nom_etablissement
55456;0870378N;Ecole maternelle
55457;0870379P;Ecole primaire publique
55458;0870382T;Ecole primaire publique
55459;0870383U;Ecole élémentaire publique
55460;0870385W;Ecole primaire publique
55461;0870386X;Ecole primaire publique
55462;0870393E;Ecole élémentaire publique
55463;0870413B;Ecole élémentaire publique
55464;0870424N;Ecole élémentaire publique
55465;0870425P;Ecole élémentaire publique
55466;0870426R;Ecole maternelle
55467;0870432X;Ecole primaire
55468;0870437C;Ecole élémentaire publique
55469;0870440F;Ecole élémentaire publique
55470;0870441G;Ecole élémentaire publique
55471;0870445L;Ecole maternelle Charles Perrault
55472;0870449R;Ecole Primaire Publique
55473;0870458A;Ecole primaire publique
55474;0870462E;Ecole primaire publique
55475;0870464G;Ecole élémentaire publique
55476;0870467K;Ecole élémentaire publique
55477;0870473S;Ecole primaire publique
55478;0870485E;Ecole primaire publique
55479;0870491L;Ecole primaire publique
55480;0870493N;Ecole élémentaire publique
55481;0870498U;Ecole primaire publique
55482;0870499V;Ecole primaire publique
55483;0870514L;Ecole primaire publique
55484;0870518R;Ecole élémentaire publique
55485;0870519S;Ecole élémentaire publique
55486;0870531E;Ecole élémentaire publique
55487;0870534H;Ecole maternelle Chantemerle
55488;0870535J;Ecole élémentaire publique
55489;0870536K;Ecole maternelle Joliot-Curie
55490;0870544U;Ecole primaire primaire
55491;0870554E;Ecole maternelle
55492;0870560L;Ecole élémentaire publique
55493;0870563P;Ecole primaire publique
55494;0870564R;Ecole primaire publique
55495;0870569W;Ecole primaire publique
55496;0870570X;Ecole Maternelle publique
55497;0870573A;Ecole primaire publique
55498;0870578F;Ecole maternelle publique
55499;0870590U;Lycée agricole de Magnac-Laval
55500;0870594Y;Ecole maternelle Georges Emmanuel Clancier
55501;0870595Z;Ecole maternelle Jacques Prévert
55502;0870644C;Ecole maternelle St Exupery
55503;0870645D;Ecole primaire René Blanchot
55504;0870655P;Ecole maternelle
55505;0870658T;Collège Jean Rebier
55506;0870662X;Ecole élémentaire publique
55507;0870663Y;Ecole primaire publique
55508;0870664Z;Ecole maternelle Joliot-Curie
55509;0870670F;Section d'enseignement général et professionnel adapté du Collège Paul Langevin
55510;0870684W;Collège Jean Moulin
55511;0870685X;Ecole primaire privée Le Sauveur
55512;0870693F;Ecole primaire privée Jeanne d'Arc
55513;0870694G;Ecole primaire privée Ozanam
55514;0870695H;Ecole primaire privée Sainte Louise de Marillac
55515;0870696J;Ecole primaire privée Sainte Valérie
55516;0870697K;Ecole primaire privée Beaupeyrat
55517;0870700N;Ecole primaire privée Jeanne d'Arc
55518;0870710Z;ITEP SUZANNE LEGER ORADOUR SAINT GENEST
55519;0870714D;Ecole maternelle Landouge
55520;0870716F;Ecole primaire publique
55521;0870717G;Ecole élémentaire d'application Condorcet Roussillon
55522;0870719J;Ecole élémentaire Landouge
55523;0870720K;Ecole primaire Hameau de Glane
55524;0870725R;Ecole élémentaire publique
55525;0870726S;Ecole primaire publique
55526;0870727T;Ecole primaire publique La Fontaine
55527;0870729V;Collège Pierre de Ronsard
55528;0870730W;Lycée professionnel Marcel Pagnol
55529;0870734A;Collège Louise Michel
55530;0870742J;Ecole maternelle Corgnac
55531;0870744L;Ecole maternelle
55532;0870745M;Ecole primaire publique
55533;0870748R;Lycée professionnel arts et techniques - le Mas Jambost
55534;0870750T;Ecole primaire publique
55535;0870752V;Ecole maternelle
55536;0870753W;Ecole primaire publique
55537;0870754X;Ecole élémentaire Pont Neuf
55538;0870755Y;Ecole élémentaire Montmailler
55539;0870756Z;IME RENE BONNEFOND EYJEAUX
55540;0870760D;Ecole primaire publique
55541;0870761E;Ecole élémentaire Henri Aigueperse
55542;0870762F;Ecole élémentaire Jean Montalat
55543;0870764H;Ecole maternelle Jean Montalat Sud
55544;0870768M;Ecole primaire publique
55545;0870771R;Collège Bernart de Ventadour
55546;0870772S;Section d'enseignement général et professionnel adapté du Collège B de Ventadour
55547;0870780A;IMPRO LASCAUX SAINT LAURENT LES EGLISES
55548;0870787H;Ecole maternelle
55549;0870791M;Collège Anatole France
55550;0870792N;Section d'enseignement général et professionnel adapté du Collège Anatole France
55551;0870795S;Ecole maternelle Jolibois
55552;0870796T;Ecole maternelle Jacques Prévert
55553;0870801Y;Ecole élémentaire publique
55554;0870802Z;Ecole Primaire Publique
55555;0870816P;Collège Léonard Limosin
55556;0870817R;Collège Auguste Renoir
55557;0870819T;Collège Pierre Robert
55558;0870820U;Collège Bernard Palissy
55559;0870821V;Collège Jean-Baptiste Darnet
55560;0870822W;Ecole maternelle Jacques Brel
55561;0870823X;Ecole primaire publique
55562;0870824Y;Ecole primaire publique
55563;0870826A;Ecole primaire publique
55564;0870827B;Ecole élémentaire publique
55565;0870832G;Ecole élémentaire publique
55566;0870833H;Ecole élémentaire Gérard Philipe
55567;0870835K;Ecole maternelle Saint-Lazare
55568;0870839P;Ecole élémentaire publique
55569;0870840R;Ecole élémentaire Léon Blum
55570;0870842T;Ecole élémentaire publique
55571;0870843U;Ecole élémentaire publique
55572;0870844V;Ecole primaire publique
55573;0870845W;Ecole primaire publique
55574;0870846X;Ecole élémentaire publique
55575;0870847Y;Ecole élémentaire Aristide Beslais
55576;0870850B;IEM APF 87, SITE COUZEIX
55577;0870852D;Ecole maternelle Simone Veil
55578;0870854F;Ecole primaire publique
55579;0870855G;Ecole primaire publique
55580;0870856H;Ecole primaire publique
55581;0870857J;Ecole élémentaire publique
55582;0870859L;Ecole primaire publique
55583;0870860M;Ecole primaire publique
55584;0870861N;Ecole primaire publique
55585;0870864S;Lycée privé Saint-Jean
55586;0870865T;Collège privé Jeanne d'Arc
55587;0870870Y;I.M.E. RUE F. DOLTO SAINT JUNIEN
55588;0870871Z;Collège Maurice Genevoix
55589;0870875D;Maison Familiale Rurale de Beynac
55590;0870882L;Ecole primaire publique
55591;0870883M;Ecole élémentaire publique
55592;0870884N;Ecole élémentaire publique
55593;0870885P;Ecole primaire publique
55594;0870886R;Ecole élémentaire publique
55595;0870887S;Ecole primaire publique
55596;0870888T;Ecole primaire publique
55597;0870890V;Ecole maternelle
55598;0870891W;Ecole maternelle Henri Wallon
55599;0870892X;Ecole élémentaire publique
55600;0870893Y;Ecole élémentaire Marcel Proust
55601;0870895A;Ecole primaire publique
55602;0870909R;Collège privé Beaupeyrat
55603;0870910S;Ecole primaire publique
55604;0870911T;Ecole primaire publique
55605;0870912U;Ecole primaire publique
55606;0870913V;Sylvia TERRADE Sud-ouest
55607;0870919B;Lycée professionnel privé Saint-Jean
55608;0870920C;Section d'enseignement général et professionnel adapté du Collège Louis Jouvet
55609;0870925H;Ecole maternelle Les Homérides
55610;0870926J;Ecole maternelle
55611;0870928L;Ecole maternelle
55612;0870929M;Ecole Elémentaire Publique
55613;0870930N;Ecole Elémentaire Publique
55614;0870931P;Ecole élémentaire publique
55615;0870935U;Ecole élémentaire publique
55616;0870936V;IME LES BAYLES ISLE
55617;0870937W;IME ALEFPA BERTHA ROOS ISLE
55618;0870947G;Ecole élémentaire Montjovis
55619;0870949J;Ecole maternelle Jean Giraudoux
55620;0870950K;Ecole maternelle publique
55621;0870965B;Section d'enseignement général et professionnel adapté du Collège J.B Darnet
55622;0870968E;Ecole primaire publique
55623;0870969F;Ecole primaire publique
55624;0870970G;Ecole maternelle
55625;0870971H;Ecole élémentaire Les Homérides
55626;0870978R;Ecole primaire publique
55627;0870980T;Ecole élémentaire Les Bénédictins
55628;0870984X;Ecole primaire publique
55629;0870985Y;Ecole primaire publique
55630;0870988B;Ecole élémentaire Marcel Madoumier
55631;0870991E;Ecole maternelle
55632;0870994H;Ecole primaire publique
55633;0870995J;Ecole primaire Aristide Briand
55634;0871000P;Ecole élémentaire publique
55635;0871003T;Ecole primaire publique
55636;0871004U;Ecole primaire publique
55637;0871005V;Ecole maternelle Marcel Madoumier
55638;0871006W;Ecole maternelle
55639;0871013D;Ecole élémentaire Le Vigenal
55640;0871014E;Ecole primaire publique
55641;0871015F;Ecole primaire publique
55642;0871016G;Ecole élémentaire publique Thomas Pesquet
55643;0871017H;Ecole élémentaire La Brégère
55644;0871018J;Ecole maternelle Jean Le Bail
55645;0871019K;Ecole élémentaire Jean le Bail
55646;0871024R;Ecole primaire Les Bayles
55647;0871025S;Ecole primaire
55648;0871026T;Ecole maternelle Gérard Philipe
55649;0871028V;Ecole élémentaire Jean Macé
55650;0871029W;Ecole élémentaire Joliot Curie
55651;0871030X;Lycée polyvalent hôtelier Jean Monnet
55652;0871033A;Section d'enseignement professionnel du Lycée Turgot
55653;0871037E;Circonscription d'inspection du 1er degré de Haute Vienne - ASH
55654;0875000M;Ecole élémentaire publique
55655;0875001N;Ecole primaire publique
55656;0875002P;Ecole élémentaire publique
55657;0875003R;Ecole élementaire Léon Berland
55658;0875005T;Ecole élémentaire publique
55659;0875006U;Ecole élémentaire publique
55660;0875007V;Ecole primaire publique
55661;0875008W;Ecole élémentaire publique
55662;0875009X;Ecole primaire publique
55663;0875010Y;Ecole élémentaire publique
55664;0875013B;Ecole élémentaire privée La Calendreta Lemosina
55665;0875016E;Section d'enseignement professionnel privée Institut d'économie sociale familiale
55666;0875023M;Lycée polyvalent Maryse Bastié
55667;0875029U;Section d'enseignement professionnel Maryse Bastié
55668;0875057Z;POLE COIFFURE BIEN ETRE
55669;0875059B;ECOLE MATERNELLE FRANCOISE DOLTO
55670;0875072R;Ecole Mas Eloi
55671;0875085E;Ecole Saint Martial
55672;0875087G;Collège privé Saint-Jean
55673;0875093N;LES PROS D'AVENIR
55674;0875100W;ECOLE INNOVANTE NOUVELLE AQUITAINE
55675;0875114L;COLLEGE SAINT MARTIAL
55676;0875115M;Ecole Topaze Education
55677;0875119S;TOPAZE EDUCATION
55678;0875122V;ECOLE TANDEM
55679;0875124X;COLLEGE TANDEM
55680;0879999W;Direction des services départementaux de l'éducation nationale de la Haute-Vienne
55681;0880001Y;Lycée des métiers des services : éco habitat et loisirs Le Chesnois
55682;0880004B;Lycée Jean Lurçat
55683;0880005C;Collège Charlemagne
55684;0880011J;Collège Jean Rostand
55685;0880013L;Lycée des métiers de l'hôtellerie restauration et du bien-être Pierre Mendès France
55686;0880014M;Collège Paul-Émile Victor
55687;0880017R;Collège Michel de Montaigne
55688;0880019T;Lycée Louis Lapicque
55689;0880020U;Lycée Claude Gellée
55690;0880021V;Lycée des métiers de la conception, de l'automatique et de l'énergie Pierre Mendès France
55691;0880023X;Lycée des métiers des services aux entreprises et aux administrations Isabelle Viviani
55692;0880030E;Lycée La Haie Griselle
55693;0880031F;Lycée des métiers de l'automobile et du transport Pierre-Gilles de Gennes
55694;0880034J;Collège Guillaume de Lamarche
55695;0880035K;Collège Guy Dolmaire
55696;0880036L;Lycée polyvalent Jean-Baptiste Vuillaume
55697;0880040R;Lycée des métiers des arts de l'habitat et de l'ameublement Pierre et Marie Curie
55698;0880041S;Collège Pierre et Marie Curie
55699;0880044V;Collège Spitzemberg
55700;0880045W;Collège Alphonse Cytère
55701;0880055G;Lycée Jules Ferry
55702;0880056H;Section d'enseignement professionnel Georges Baumont
55703;0880057J;Lycée professionnel Jean-Baptiste Jacques Augustin
55704;0880064S;Lycée des métiers de la mode et des services à la personne Émile Gallé
55705;0880065T;Collège Jules Ferry
55706;0880068W;Collège Fleurot d'Herival
55707;0880072A;Section d'Enseignement Professionnel du Lycée Polyvalent Pierre Mendes France
55708;0880073B;Centre d'information et d'orientation d'Épinal - Remiremont site d'Épinal
55709;0880075D;Centre d'information et d'orientation de Saint-Dié
55710;0880079H;Groupe Scolaire - La Baffe - Moussoux -
55711;0880081K;Circonscription d'inspection du 1er degré d'Epinal
55712;0880085P;Circonscription d'inspection du 1er degré de Neufchâteau
55713;0880086R;Circonscription d'inspection du 1er degré de Remiremont
55714;0880088T;Circonscription d'inspection du 1er degré de Gérardmer
55715;0880096B;Ensemble Scolaire Jeanne d'Arc - Saint-Joseph (collège)
55716;0880097C;Ensemble scolaire Jeanne d'Arc - Saint-Joseph (lycée)
55717;0880098D;Collège Sainte-Marie
55718;0880099E;Lycée Beau Jardin
55719;0880100F;Collège Notre-Dame de la Providence
55720;0880101G;Ensemble scolaire Notre-Dame - Saint-Joseph (lycée)
55721;0880105L;Groupe Scolaire Saint-Laurent
55722;0880106M;Collège Jeanne d'Arc
55723;0880108P;Collège Saint-Clément
55724;0880112U;Collège Jeanne d'Arc
55725;0880114W;Collège Sainte-Jeanne d'Arc
55726;0880120C;Lycée professionnel Notre-Dame de la Providence
55727;0880133S;Lycée professionnel Jeanne d'Arc
55728;0880149J;Collège Antoine de Saint-Exupéry
55729;0880150K;Collège Jules Ferry
55730;0880151L;Collège Vautrin Lud
55731;0880152M;Lycée des métiers de l'ingénierie et des créations industrielles Georges Baumont
55732;0880153N;Lycée des métiers du bois André Malraux
55733;0880154P;Collège Charlet
55734;0880155R;Collège Christian Poncelet
55735;0880156S;Collège Jules Verne
55736;0880169F;Ecole Elémentaire - de la Hardalle -
55737;0880178R;Ecole Primaire - du Centre Nicole Herry -
55738;0880186Z;Ecole Maternelle - Pauline Kergomard -
55739;0880188B;Ecole Primaire - du Centre -
55740;0880199N;Groupe Scolaire
55741;0880211B;Ecole Primaire - Victor Hugo -
55742;0880216G;Ecole Primaire
55743;0880229W;Ecole Primaire
55744;0880230X;Ecole Primaire - Montaigne -
55745;0880233A;Ecole Primaire
55746;0880262G;Ecole Primaire - Victor Hugo -
55747;0880269P;Ecole Maternelle - d'Ambrail -
55748;0880276X;Ecole Primaire- 149ème RI -
55749;0880295T;Ecole Primaire - Du Champbeauvert -
55750;0880304C;Ecole Maternelle - Guilgot -
55751;0880312L;Ecole Maternelle
55752;0880317S;Ecole Elémentaire
55753;0880323Y;Ecole Primaire
55754;0880324Z;Ecole Elémentaire - de l'Orme -
55755;0880326B;Ecole Maternelle
55756;0880329E;Ecole Primaire  Julie Victoire
55757;0880338P;Ecole Primaire
55758;0880349B;Groupe Scolaire - Alfred Renauld -
55759;0880350C;Ecole Primaire - du Centre -
55760;0880366V;Ecole Elémentaire
55761;0880369Y;Ecole Maternelle
55762;0880382M;Ecole Primaire - Beaulieu
55763;0880383N;Ecole Elémentaire - du Centre -
55764;0880384P;Ecole Maternelle - du Centre -
55765;0880389V;Ecole Maternelle - La Louvroie -
55766;0880393Z;Ecole primaire
55767;0880405M;Ecole Maternelle
55768;0880412V;Ecole Primaire - du Centre -
55769;0880418B;Collège Louis Pergaud
55770;0880420D;Ecole Elémentaire
55771;0880426K;Ecole Elémentaire - les Hirondelles -
55772;0880433T;Ecole Primaire
55773;0880435V;Ecole Primaire - du Centre -
55774;0880436W;Ecole Elémentaire - Clairey -
55775;0880438Y;Ecole Primaire
55776;0880450L;Ecole Elémentaire
55777;0880463A;Ecole Primaire
55778;0880468F;Ecole Elémentaire
55779;0880473L;Ecole Primaire
55780;0880483X;Ecole Elémentaire - Jules Ferry -
55781;0880484Y;Ecole Maternelle - Jean Rostand -
55782;0880485Z;Ecole Primaire
55783;0880486A;Ecole Primaire
55784;0880487B;Ecole Primaire - Bernadette FREMIOT
55785;0880490E;Ecole Elémentaire
55786;0880491F;Ecole Elémentaire
55787;0880497M;Ecole Primaire - des Fontaines -
55788;0880498N;Ecole Primaire
55789;0880501S;Ecole Elémentaire
55790;0880512D;Ecole Primaire
55791;0880514F;Ecole Elémentaire
55792;0880515G;Ecole Primaire
55793;0880524S;Ecole Elémentaire - du Centre -
55794;0880530Y;Ecole Primaire
55795;0880536E;Ecole primaire de Granges-Aumontzey
55796;0880542L;Ecole Primaire
55797;0880547S;Ecole primaire Marie Curie
55798;0880550V;Ecole Primaire - Les Bas Rupts -
55799;0880557C;Ecole Elémentaire
55800;0880580C;Ecole Primaire- Bouxières -
55801;0880581D;Ecole Primaire
55802;0880585H;Ecole Elémentaire - Stanislas Leszczynski -
55803;0880587K;Ecole Maternelle - Jacques Prévert -
55804;0880588L;Ecole Elémentaire
55805;0880592R;Ecole Primaire
55806;0880597W;Ecole Primaire
55807;0880601A;Ecole Elémentaire
55808;0880605E;Ecole Maternelle - Petit Ban -
55809;0880606F;Ecole Maternelle - Louis Blanc -
55810;0880610K;Ecole Elémentaire
55811;0880614P;Ecole Maternelle - André Jacquemin -
55812;0880617T;Ecole Primaire
55813;0880621X;Ecole Elémentaire
55814;0880628E;Ecole Primaire
55815;0880638R;Ecole Primaire
55816;0880640T;Ecole Primaire
55817;0880642V;Ecole Primaire
55818;0880662S;Ecole Primaire - Les Quatre Vents -
55819;0880663T;Ecole Primaire
55820;0880669Z;Ecole Primaire
55821;0880673D;Ecole Primaire - du Centre -
55822;0880676G;Ecole Elémentaire - Jules Ferry -
55823;0880678J;Ecole Maternelle - Arc en Ciel -
55824;0880687U;Ecole Elémentaire - Perce-Neige -
55825;0880688V;Ecole Maternelle
55826;0880698F;Ecole Elémentaire
55827;0880705N;Ecole primaire Docteur Malgaigne
55828;0880707R;Ecole Primaire
55829;0880709T;Ecole Primaire
55830;0880749L;Ecole Maternelle  Les Ecureuils
55831;0880759X;Ecole Primaire - Joseph Piroux -
55832;0880772L;Ecole Primaire - Vincent Munier
55833;0880779U;Ecole Primaire
55834;0880782X;Ecole Primaire
55835;0880790F;Ecole Primaire
55836;0880791G;Ecole Elémentaire
55837;0880794K;Ecole Elémentaire - Le Void Régnier -
55838;0880796M;Ecole Maternelle - du Centre -
55839;0880799R;Ecole Maternelle - Jules Ferry -
55840;0880802U;Ecole maternelle
55841;0880803V;Ecole Elémentaire
55842;0880805X;Ecole Elémentaire - du Centre -
55843;0880807Z;Ecole Elémentaire
55844;0880808A;Ecole Elémentaire
55845;0880810C;Ecole Maternelle
55846;0880812E;Ecole Maternelle
55847;0880820N;Ecole Elémentaire Hubert Curien
55848;0880832B;Ecole Elémentaire
55849;0880833C;Ecole Primaire
55850;0880835E;Ecole Primaire - La Serpentine -
55851;0880843N;Ecole Maternelle - Fanny Salmon -
55852;0880844P;Ecole Elémentaire
55853;0880845R;Ecole Primaire - les Grillons -
55854;0880847T;Ecole Elémentaire
55855;0880867P;Ecole Primaire - Seux -
55856;0880870T;Ecole Primaire - Les Breuchottes -
55857;0880879C;Ecole Primaire
55858;0880880D;Ecole Primaire - du Centre -
55859;0880884H;Ecole Maternelle - des Sources -
55860;0880886K;Ecole Primaire - du Centre -
55861;0880891R;Ecole Primaire
55862;0880897X;Ecole Primaire
55863;0880909K;Ecole Primaire
55864;0880916T;Ecole Maternelle - du Centre -
55865;0880931J;Ecole des Petits Erudits
55866;0880935N;Ecole Primaire
55867;0880943X;Ecole Elémentaire - Saulx -
55868;0880945Z;Ecole Elémentaire - du Centre -
55869;0880949D;Ecole Primaire - Jules Ferry -
55870;0880955K;Ecole Primaire - Launois -
55871;0880959P;Ecole Primaire
55872;0880966X;Ecole Maternelle - du Centre -
55873;0880991Z;Ecole Primaire - Alfred Gaxotte -
55874;0880992A;Ecole Primaire
55875;0880996E;Ecole Primaire - du Centre -
55876;0881000J;Ecole Primaire Alexandre Dumas
55877;0881001K;Ecole Elémentaire
55878;0881003M;Ecole Elémentaire - Vincent Auriol -Claire Goll
55879;0881014Z;Groupe Scolaire - Jacques Prévert -
55880;0881015A;Groupe Scolaire - Baldensperger -
55881;0881019E;Ecole primaire - Paul Elbel
55882;0881022H;Groupe Scolaire - Eugénie et Jules Ferry -
55883;0881027N;Groupe Scolaire - Camille Claudel -
55884;0881035X;Ecole Maternelle - Herbaville -
55885;0881036Y;Ecole Elémentaire - Marguerite Mathis -
55886;0881037Z;Ecole Elémentaire
55887;0881042E;Ecole primaire - du Centre -
55888;0881048L;Ecole Primaire
55889;0881053S;Ecole Maternelle - La Tourterelle -
55890;0881061A;Ecole primaire du Centre
55891;0881064D;Ecole Elémentaire
55892;0881065E;Ecole Maternelle - Julia Colin -
55893;0881066F;Ecole Primaire - Louis Poirot -
55894;0881068H;Ecole Primaire - Aquarelle -
55895;0881070K;Lycée agricole et forestier du Campus de Mirecourt
55896;0881076S;Ecole Primaire
55897;0881077T;Ecole Primaire
55898;0881078U;Ecole Primaire
55899;0881086C;Ecole Primaire - du Centre -
55900;0881087D;Ecole Primaire - du Centre -
55901;0881088E;Ecole Primaire- Aimé Chevrier -
55902;0881090G;Ecole Primaire
55903;0881093K;Ecole Elémentaire - Le Haut de Fol -
55904;0881095M;Ecole Primaire - Jules Ferry -
55905;0881097P;Collège Louis Armand
55906;0881098R;Ecole Primaire
55907;0881099S;Collège Joseph Julien Souhait
55908;0881101U;Collège André Malraux
55909;0881107A;Ecole Maternelle
55910;0881110D;Ecole Maternelle
55911;0881116K;Ecole Maternelle - Epinettes-Jean Macé
55912;0881120P;Collège Louis Pasteur
55913;0881121R;Section d'enseignement général et professionnel adapté du Collège Lyautey
55914;0881140L;Lycée professionnel Camille Claudel
55915;0881145S;Collège Maurice Barrès
55916;0881146T;Collège Georges Clémenceau
55917;0881148V;Collège Guillaume Apollinaire
55918;0881156D;groupe Scolaire - Portieux la Verrerie -
55919;0881157E;Ecole Primaire - Camille Picard -
55920;0881158F;Ecole Elémentaire - du Centre -
55921;0881159G;Ecole Primaire
55922;0881160H;Ecole Primaire
55923;0881161J;Ecole Primaire - du Centre -
55924;0881162K;Groupe Scolaire - Ferdinand Brunot -
55925;0881164M;Ecole Primaire - des Trois Hameaux -
55926;0881247C;IME  Jean poirot  Fontenoy
55927;0881254K;Institut Médico-Educatif Beau-Joly
55928;0881255L;Institu médico-technique de Neufchateau
55929;0881259R;Ecole Maternelle - des 2 Lacs -
55930;0881260S;Ecole Elémentaire - des 2 Lacs -
55931;0881261T;Ecole Primaire
55932;0881262U;Ecole Primaire
55933;0881263V;Ecole Elémentaire - Champs à Nabord -
55934;0881264W;Ecole Elémentaire - du Centre -
55935;0881276J;Ecole primaire privée Jeanne d'Arc
55936;0881278L;Ecole primaire privée Saint Nicolas
55937;0881286V;Ecole primaire privée Saint Goery
55938;0881291A;Ecole primaire privée Notre-Dame
55939;0881297G;Ecole primaire privée Jeanne d'Arc Saint Pierre Fourier
55940;0881298H;Ecole primaire privée Jeanne d'Arc
55941;0881302M;Ecole primaire privée Sainte Jeanne d'Arc
55942;0881304P;Ecole primaire privée Sainte Thérèse
55943;0881306S;Ecole primaire privée Saint Romaric
55944;0881308U;Ecole primaire privée Sainte Marie
55945;0881311X;Ecole primaire privée Notre-Dame de La Providence
55946;0881316C;Ecole primaire privée Sainte Marie
55947;0881321H;Ecole Maternelle - du Centre -
55948;0881322J;Groupe Scolaire - Jean Haedrich -
55949;0881323K;Ecole élémentaire Julie-V Daubié
55950;0881324L;Ecole Primaire
55951;0881327P;Ecole Primaire
55952;0881328R;Ecole Primaire
55953;0881329S;Ecole Primaire
55954;0881331U;Ecole Primaire - Les Tilleuls -
55955;0881333W;Ecole Primaire - La Truche -
55956;0881335Y;Ecole Primaire
55957;0881336Z;Ecole Primaire - Les Meix -
55958;0881338B;Ecole Primaire
55959;0881339C;Section d'Enseignement Professionnel du LPO Pierre et Marie Curie
55960;0881340D;Section d'enseignement général et professionnel adapté du Collège Alphonse Cytère
55961;0881341E;Section d'enseignement général et professionnel adapté du Collège Georges Clémenceau
55962;0881342F;Section d'enseignement général et professionnel adapté du Collège Charlet
55963;0881346K;Ecole Maternelle - Louis Pergaud -
55964;0881347L;Ecole Maternelle - Louise Michel -
55965;0881350P;Ecole Primaire - le Souche -
55966;0881351R;Ecole Primaire
55967;0881353T;Ecole Primaire
55968;0881355V;Ecole Primaire
55969;0881358Y;Ecole Elémentaire - Marcel Pagnol -
55970;0881361B;Ecole Primaire - Le Rhumont -
55971;0881363D;Ecole Elémentaire de l'Avière
55972;0881365F;Ecole Primaire - La Route -
55973;0881366G;Ecole Primaire - Pierre et Marie Curie -
55974;0881369K;Collège Camille Claudel
55975;0881370L;Lycée professionnel Louis Geisler
55976;0881371M;Collège René Cassin
55977;0881377U;Ecole Primaire - Les Herbures -
55978;0881378V;Ecole Maternelle
55979;0881381Y;Ecole Primaire - Vanémont -
55980;0881382Z;Ecole Primaire - du Centre
55981;0881385C;Section d'enseignement général et professionnel adapté du Collège Louis Pasteur
55982;0881390H;Ecole Primaire
55983;0881391J;Ecole Primaire - Révillon -
55984;0881393L;Ecole Maternelle - La Tortue Bleue -
55985;0881397R;Collège Hubert Curien
55986;0881399T;IFPRO Darney
55987;0881405Z;Ecole Primaire - Julie Victoire Daubié -
55988;0881410E;Collège de la Haute Meurthe
55989;0881414J;Ecole Maternelle - Devant Les Folies -
55990;0881415K;Ecole Maternelle
55991;0881418N;Ecole Maternelle - Jean Virot -
55992;0881421S;Ecole Primaire
55993;0881422T;Ecole Primaire - du Centre -
55994;0881423U;Ecole Primaire
55995;0881424V;Ecole primaire privée Saint Laurent
55996;0881435G;Institut Médico-Educatif Clair Matin Epinal
55997;0881437J;Institut Médico-Educatif Clair Matin Saint-Dié
55998;0881438K;IME  Clair matin  à St-Amé
55999;0881446U;Collège La Haie Griselle
56000;0881447V;Collège Jules Ferry
56001;0881449X;Maison Familiale Rurale de Ramonchamp
56002;0881450Y;Maison Familiale Rurale de Saint-Dié / la Porte d'Alsace
56003;0881452A;École d'horticulture et de paysage
56004;0881454C;Ecole Primaire
56005;0881456E;Ecole Primaire
56006;0881457F;Ecole Maternelle - Jules Ferry -
56007;0881459H;Ecole Primaire - du Haut Saintois -
56008;0881476B;Ecole Primaire
56009;0881478D;Ecole Primaire
56010;0881479E;Ecole Elémentaire - Robert Desnos -
56011;0881481G;Ecole Primaire - Pierre Bernard -
56012;0881482H;Ecole Primaire
56013;0881483J;Ecole Elémentaire - Saint Laurent -
56014;0881487N;Ecole Elémentaire d'Application - Louis Pergaud -
56015;0881488P;Ecole Primaire
56016;0881489R;Ecole Primaire
56017;0881490S;Ecole Primaire
56018;0881491T;Ecole Maternelle - Les Bosquets -
56019;0881492U;Ecole Maternelle
56020;0881496Y;Collège Notre-Dame Saint-Joseph
56021;0881498A;Ensemble scolaire Jeanne d'Arc - Saint-Joseph (lycée professionnel)
56022;0881501D;Ecole Maternelle
56023;0881502E;Ecole Elémentaire
56024;0881503F;Ecole Maternelle
56025;0881504G;Ecole Primaire
56026;0881507K;Ecole Primaire - Léon Jacquemin -
56027;0881530K;Ensemble scolaire Notre-Dame - Saint-Joseph (lycée professionnel)
56028;0881532M;Ecole Primaire
56029;0881535R;Ecole Maternelle - Eugène Rossignol -
56030;0881536S;Ecole Elémentaire - d'Ambrail -
56031;0881539V;Ecole Primaire - du Centre -
56032;0881542Y;Ecole Primaire
56033;0881544A;Ecole Primaire
56034;0881547D;Maison Familiale Rurale de Bulgneville
56035;0881558R;Ecole Maternelle
56036;0881560T;Ecole primaire Jean Jaurès
56037;0881580P;Ecole Primaire
56038;0881581R;Ecole Primaire
56039;0881582S;Ecole Elémentaire - du Centre -
56040;0881583T;Ecole Primaire - Jules Ferry -
56041;0881584U;Groupe Scolaire - Gaston Colnat -
56042;0881589Z;Ecole Primaire - Charles Zamaron -
56043;0881592C;Maison Familiale Rurale de Hadol
56044;0881593D;Maison Familiale Rurale de Saulxures
56045;0881595F;Ecole Elémentaire - Maurice Ravel -
56046;0881599K;Ecole Elémentaire - Emile Durkheim -
56047;0881600L;Groupe Scolaire - Clémencet - Darmois -
56048;0881603P;Circonscription d'inspection du 1er degré de Bruyères
56049;0881604R;Ecole Primaire - Paul Emile Victor -
56050;0881605S;Ecole Elémentaire
56051;0881607U;Ecole Primaire du Tilleul
56052;0881608V;Ecole Elémentaire
56053;0881609W;Ecole Primaire - du Centre -
56054;0881610X;Ecole Primaire - du Centre -
56055;0881611Y;Ecole Elémentaire - Le Tambour -
56056;0881623L;Lycée professionnel privé Horticulture et Paysage
56057;0881625N;Ecole Maternelle - Les Adelys -
